transfer_id,year,date,season,transfer_window,player_name,position,age,from_club,from_league,from_country,to_club,to_league,to_country,fee_eur_m,is_free_transfer,is_loan,is_intra_league,is_intra_country
T000001,2010,2010-08-07,2010-2011,summer,Diego Camavinga,DM,23,Sevilla,La_Liga,ESP,Chelsea,Premier_League,ENG,13.1,0,0,0,0
T000002,2010,2010-07-15,2010-2011,summer,Thomas Jones,CM,22,Lille,Ligue_1,FRA,Lazio,Serie_A,ITA,0.4,0,1,0,0
T000003,2010,2010-02-11,2009-2010,winter,Peter Camavinga,DM,24,Feyenoord,Eredivisie,NED,Athletic Bilbao,La_Liga,ESP,0.4,0,1,0,0
T000004,2010,2010-08-19,2010-2011,summer,Manuel Andersson,FW,29,Real Madrid,La_Liga,ESP,AS Monaco,Ligue_1,FRA,0.3,0,0,0,0
T000005,2010,2010-07-25,2010-2011,summer,Yusuf Brown,CB,28,Fenerbahce,Super_Lig,TUR,Everton,Premier_League,ENG,4.9,0,0,0,0
T000006,2010,2010-08-26,2010-2011,summer,Hee-chan Andersson,CB,28,West Ham,Premier_League,ENG,Chelsea,Premier_League,ENG,0.0,1,0,1,1
T000007,2010,2010-08-22,2010-2011,summer,Wataru Pereira,CM,16,Newcastle United,Premier_League,ENG,Tottenham,Premier_League,ENG,0.0,1,1,1,1
T000008,2010,2010-07-08,2010-2011,summer,Zane Rivera,RB,21,Inter Miami,MLS,USA,Benfica,Liga_Portugal,POR,0.0,1,0,0,0
T000009,2010,2010-07-27,2010-2011,summer,Kevin Rivera,CB,26,Tottenham,Premier_League,ENG,Roma,Serie_A,ITA,0.3,0,1,0,0
T000010,2010,2010-07-21,2010-2011,summer,Xander Johansson,CM,21,Stade Rennais,Ligue_1,FRA,Real Betis,La_Liga,ESP,3.5,0,0,0,0
T000011,2010,2010-08-05,2010-2011,summer,Diego Andersson,LW,24,Al-Hilal,Saudi_Pro_League,SAU,Olympique Lyonnais,Ligue_1,FRA,3.9,0,1,0,0
T000012,2010,2010-01-09,2009-2010,winter,Charlie Taylor,CB,32,Fiorentina,Serie_A,ITA,Olympique Marseille,Ligue_1,FRA,3.2,0,0,0,0
T000013,2010,2010-07-06,2010-2011,summer,Sergio Lopez,LW,26,Manchester United,Premier_League,ENG,Al-Hilal,Saudi_Pro_League,SAU,5.9,0,1,0,0
T000014,2010,2010-01-26,2009-2010,winter,Liam Mbappe,LB,24,PSV Eindhoven,Eredivisie,NED,Manchester United,Premier_League,ENG,5.1,0,0,0,0
T000015,2010,2010-07-21,2010-2011,summer,George Santos,LW,22,Olympique Lyonnais,Ligue_1,FRA,AS Monaco,Ligue_1,FRA,9.2,0,0,1,1
T000016,2010,2010-08-22,2010-2011,summer,Michael Toure,RB,25,Galatasaray,Super_Lig,TUR,Liverpool,Premier_League,ENG,37.4,0,0,0,0
T000017,2010,2010-07-27,2010-2011,summer,Daichi Eriksson,CB,29,Newcastle United,Premier_League,ENG,Liverpool,Premier_League,ENG,6.1,0,1,1,1
T000018,2010,2010-08-23,2010-2011,summer,Tomas Smith,CM,16,Real Madrid,La_Liga,ESP,Chelsea,Premier_League,ENG,173.7,0,0,0,0
T000019,2010,2010-01-04,2009-2010,winter,Xander Rivera,LB,28,Borussia Monchengladbach,Bundesliga,GER,Sevilla,La_Liga,ESP,6.4,0,1,0,0
T000020,2010,2010-01-22,2009-2010,winter,Cherif Yoshida,CM,25,Manchester City,Premier_League,ENG,Fiorentina,Serie_A,ITA,10.8,0,0,0,0
T000021,2010,2010-08-17,2010-2011,summer,Hiroshi Oliveira,CB,20,Porto,Liga_Portugal,POR,Manchester United,Premier_League,ENG,22.0,0,0,0,0
T000022,2010,2010-08-01,2010-2011,summer,Min-jae Rodriguez,GK,27,Athletic Bilbao,La_Liga,ESP,Chelsea,Premier_League,ENG,200.0,0,0,0,0
